sample	cluster	ST	Species	Dataset	Host	Source	year
SRR9586715	16	73	Escherichia coli	Contextual	Avian	Context	2018
SRR9652106	29	173	Escherichia coli	Contextual	Plant	Context	2016
SB278790898	21	131	Escherichia coli	SB27	Human	Human	2018
SRR4271485	21	131	Escherichia coli	Contextual	Human	Context	2016
SB279406719	21	131	Escherichia coli	SB27	Human	Human	2019
SRR4787715	8	335	Escherichia coli	Contextual	Human	Context	2017
SB2710442014	29	711	Escherichia coli	SB27	Beef	Animal	2018
SB278790864	19	69	Escherichia coli	SB27	Human	Human	2018
SB278790920	16	73	Escherichia coli	SB27	Human	Human	2018
SB279407025	3	-	Escherichia coli	SB27	Human	Human	2019
SB278791244	18	117	Escherichia coli	SB27	Chicken	Animal	2018
SRR13209811	29	33	Escherichia coli	Contextual	Human	Context	2018
SRR11354598	10	1193	Escherichia coli	Contextual	Human	Context	2018
SB279406860	21	131	Escherichia coli	SB27	Human	Human	2019
SRR6001154	25	32	Escherichia coli	Contextual	Human	Context	2017
SB2710442106	25	1204	Escherichia coli	SB27	Beef	Animal	2018
SB279408169	25	8619	Escherichia coli	SB27	Turkey	Animal	2019
SB279406974	16	-	Escherichia coli	SB27	Human	Human	2019
SRR6651798	8	11	Escherichia coli	Contextual	ND/Other	Context	2017
SRR7724570	26	405	Escherichia coli	Contextual	Avian	Context	2017
SRR7647876	24	10	Escherichia coli	Contextual	Bovine	Context	2017
SRR7524655	23	10	Escherichia coli	Contextual	Human	Context	2016
SB279408442	29	1844	Escherichia coli	SB27	Turkey	Animal	2019
SRR6208552	23	43	Escherichia coli	Contextual	Plant	Context	2017
SRR14994821	29	5559	Escherichia coli	Contextual	Deer	Context	2016
SB278791086	16	73	Escherichia coli	SB27	Human	Human	2018
SRR7230300	23	10	Escherichia coli	Contextual	Human	Context	2018
SB279406668	18	117	Escherichia coli	SB27	Turkey	Animal	2018
SB2710442077	25	3587	Escherichia coli	SB27	Beef	Animal	
SB279406833	14	95	Escherichia coli	SB27	Human	Human	2019
SRR7724583	21	2279	Escherichia coli	Contextual	Avian	Context	2017
SB2710442926	19	69	Escherichia coli	SB27	Turkey	Animal	2020
SB279407939	18	117	Escherichia coli	SB27	Turkey	Animal	2019
SB279408300	23	43	Escherichia coli	SB27	Chicken	Animal	2019
SB279406396	13	38	Escherichia coli	SB27	Chicken	Animal	2018
SB278791589	18	117	Escherichia coli	SB27	Chicken	Animal	2018
SB279407015	29	297	Escherichia coli	SB27	Human	Human	2019
SRR10310404	25	57	Escherichia coli	Contextual	Human	Context	2017
SB279408310	29	297	Escherichia coli	SB27	Turkey	Animal	2019
SB2710442971	18	1163	Escherichia coli	SB27	Turkey	Animal	2020
SRR7140588	26	5748	Escherichia coli	Contextual	Bovine	Context	2018
SRR10383453	21	131	Escherichia coli	Contextual	Human	Context	2017
SB279407020	1	349	Escherichia coli	SB27	Human	Human	2019
SB279408100	29	1727	Escherichia coli	SB27	Beef	Animal	2019
SB278344958	14	95	Escherichia coli	SB27	Human	Human	
SB278790634	10	404	Escherichia coli	SB27	Human	Human	2018
SB279407104	10	1193	Escherichia coli	SB27	Human	Human	2019
SB278791351	28	681	Escherichia coli	SB27	Turkey	Animal	2018
SB2710442663	29	156	Escherichia coli	SB27	Beef	Animal	2019
SB278791513	29	1844	Escherichia coli	SB27	Turkey	Animal	2018
SB279407213	2	127	Escherichia coli	SB27	Human	Human	2019
SB278790939	2	127	Escherichia coli	SB27	Human	Human	2018
SRR6793689	23	10	Escherichia coli	Contextual	Swine	Context	2018
SB279406565	23	10	Escherichia coli	SB27	Turkey	Animal	2018
SRR7724622	29	196	Escherichia coli	Contextual	Avian	Context	2017
SB278790805	23	744	Escherichia coli	SB27	Human	Human	2018
SB278791339	28	8611	Escherichia coli	SB27	Turkey	Animal	2018
SB278791396	29	9295	Escherichia coli	SB27	Pork	Animal	2018
SB279408114	20	58	Escherichia coli	SB27	Turkey	Animal	2019
SB278790810	20	58	Escherichia coli	SB27	Human	Human	2018
SB279408523	29	212	Escherichia coli	SB27	Chicken	Animal	2019
SB2710442254	11	399	Escherichia coli	SB27	Pork	Animal	2019
SB279408387	17	1385	Escherichia coli	SB27	Turkey	Animal	2019
SB279408540	29	906	Escherichia coli	SB27	Turkey	Animal	2019
SB279406918	19	69	Escherichia coli	SB27	Human	Human	2019
SB278790445	17	429	Escherichia coli	SB27	Human	Human	2018
SB278344822	14	95	Escherichia coli	SB27	Human	Human	
SB278790839	19	69	Escherichia coli	SB27	Human	Human	2018
SB279406574	29	533	Escherichia coli	SB27	Turkey	Animal	2018
SB278791187	16	1618	Escherichia coli	SB27	Turkey	Animal	2018
SB279407351	25	4735	Escherichia coli	SB27	Human	Human	2019
SB278790242	3	2604	Escherichia coli	SB27	Human	Human	2018
SB278345017	16	73	Escherichia coli	SB27	Human	Human	
SB2710443010	23	227	Escherichia coli	SB27	Turkey	Animal	2020
SB278344705	21	131	Escherichia coli	SB27	Human	Human	
SB279408702	11	2531	Escherichia coli	SB27	Beef	Animal	2020
SRR4897086	29	33	Escherichia coli	Contextual	Human	Context	2016
SB279406445	29	2040	Escherichia coli	SB27	Chicken	Animal	2018
SRR7231580	29	1248	Escherichia coli	Contextual	Bovine	Context	2017
SB2710442355	29	2144	Escherichia coli	SB27	Pork	Animal	2019
SB2710442881	27	540	Escherichia coli	SB27	Turkey	Animal	2020
SB278790491	14	95	Escherichia coli	SB27	Human	Human	2018
SRR7716572	9	410	Escherichia coli	Contextual	Human	Context	2018
SRR11354613	20	155	Escherichia coli	Contextual	Human	Context	2018
SB2710442173	29	109	Escherichia coli	SB27	Pork	Animal	2019
SB278791463	20	-	Escherichia coli	SB27	Turkey	Animal	2018
SB2710441912	29	-	Escherichia coli	SB27	Beef	Animal	2018
SB278791101	2	127	Escherichia coli	SB27	Human	Human	2018
SB279408768	23	34	Escherichia coli	SB27	Chicken	Animal	2020
SB2710442046	29	392	Escherichia coli	SB27	Beef	Animal	2018
SB2710441503	27	3202	Escherichia coli	SB27	Pork	Animal	2021
SB279408561	7	101	Escherichia coli	SB27	Pork	Animal	2019
SRR7221212	8	11	Escherichia coli	Contextual	Human	Context	2017
SB279406758	14	95	Escherichia coli	SB27	Human	Human	2019
SB2710443047	4	141	Escherichia coli	SB27	Turkey	Animal	2020
SB278791350	12	3580	Escherichia coli	SB27	Beef	Animal	2018
SB279408524	11	399	Escherichia coli	SB27	Chicken	Animal	2019
SB278791271	23	1415	Escherichia coli	SB27	Beef	Animal	2018
SB279407379	24	10	Escherichia coli	SB27	Human	Human	2019
SB279407018	16	73	Escherichia coli	SB27	Human	Human	2019
SB278790847	19	69	Escherichia coli	SB27	Human	Human	2018
SB2710442233	29	3234	Escherichia coli	SB27	Beef	Animal	2019
SB279406527	17	428	Escherichia coli	SB27	Chicken	Animal	2018
SRR7285536	29	442	Escherichia coli	Contextual	Human	Context	2017
SB279407859	23	10	Escherichia coli	SB27	Turkey	Animal	2019
SB278791076	14	95	Escherichia coli	SB27	Human	Human	2018
SB2710442027	25	5971	Escherichia coli	SB27	Beef	Animal	2018
SB278344603	13	38	Escherichia coli	SB27	Human	Human	
SB2710442939	25	-	Escherichia coli	SB27	Turkey	Animal	2020
SRR7724574	14	95	Escherichia coli	Contextual	Avian	Context	2017
SB2710441439	21	131	Escherichia coli	SB27	Turkey	Animal	2021
SB278790875	19	69	Escherichia coli	SB27	Human	Human	2018
SB279407036	16	73	Escherichia coli	SB27	Human	Human	2019
SB278790255	14	95	Escherichia coli	SB27	Human	Human	2018
SB2710196295	16	73	Escherichia coli	SB27	ND/Other	Context	
SRR5024523	8	11	Escherichia coli	Contextual	Human	Context	2016
SB2710442168	11	4774	Escherichia coli	SB27	Pork	Animal	2019
SB278791436	29	1148	Escherichia coli	SB27	Beef	Animal	2018
SB2710441878	29	446	Escherichia coli	SB27	Beef	Animal	2021
SRR11047681	24	1491	Escherichia coli	Contextual	Human	Context	2017
SB278344533	3	2604	Escherichia coli	SB27	Human	Human	
SRR5901512	29	345	Escherichia coli	Contextual	Swine	Context	2017
SB278344660	5	420	Escherichia coli	SB27	Human	Human	
SRR11473289	20	155	Escherichia coli	Contextual	Poultry	Context	2017
SB279407309	14	1231	Escherichia coli	SB27	Human	Human	2019
SRR7724580	23	10	Escherichia coli	Contextual	Avian	Context	2017
SRR12206230	6	770	Escherichia coli	Contextual	Poultry	Context	2018
SB279407143	21	4713	Escherichia coli	SB27	Human	Human	2019
SRR12206300	23	10	Escherichia coli	Contextual	Human	Context	2018
SRR7026288	27	361	Escherichia coli	Contextual	Water/River	Context	2018
SB278791296	17	2556	Escherichia coli	SB27	Turkey	Animal	2018
SRR8728074	12	162	Escherichia coli	Contextual	Canine	Context	2018
SB279407160	14	95	Escherichia coli	SB27	Human	Human	2019
SB278791322	11	2606	Escherichia coli	SB27	Beef	Animal	2018
SB278790725	19	69	Escherichia coli	SB27	Human	Human	2018
SRR3581374	21	131	Escherichia coli	Contextual	Human	Context	2016
SB278791355	22	1276	Escherichia coli	SB27	Chicken	Animal	2018
SB278344702	19	-	Escherichia coli	SB27	Human	Human	
SB2710441956	27	-	Escherichia coli	SB27	Beef	Animal	2018
SRR14138270	27	93	Escherichia coli	Contextual	Human	Context	2017
SRR7285583	8	11	Escherichia coli	Contextual	Human	Context	2018
SB279406710	22	1722	Escherichia coli	SB27	Human	Human	2019
SB278344965	26	393	Escherichia coli	SB27	Human	Human	
SB279408815	20	58	Escherichia coli	SB27	Turkey	Animal	2020
SB278790566	19	69	Escherichia coli	SB27	Human	Human	2018
SRR7724627	10	1193	Escherichia coli	Contextual	Avian	Context	2017
SB278791115	14	95	Escherichia coli	SB27	Human	Human	2018
SB278791320	17	428	Escherichia coli	SB27	Turkey	Animal	2018
SRR8202293	29	388	Escherichia coli	Contextual	Bovine	Context	2018
SB279406884	10	1193	Escherichia coli	SB27	Human	Human	2019
SB2710442602	17	1385	Escherichia coli	SB27	Pork	Animal	2019
SB278791630	21	131	Escherichia coli	SB27	Human	Human	2017
SB278791547	11	399	Escherichia coli	SB27	Pork	Animal	2018
SB279406713	10	14	Escherichia coli	SB27	Human	Human	2019
SB279408896	17	357	Escherichia coli	SB27	Human	Human	2020
SB279407030	29	351	Escherichia coli	SB27	Human	Human	2019
SB2710441474	7	101	Escherichia coli	SB27	Beef	Animal	2021
SB278344616	17	676	Escherichia coli	SB27	Human	Human	
SB2710441823	19	69	Escherichia coli	SB27	Turkey	Animal	2021
SB2710196352	15	401	Escherichia coli	SB27	Human	Human	2020
SRR7186449	23	10	Escherichia coli	Contextual	Bovine	Context	2017
SB278344772	14	95	Escherichia coli	SB27	Human	Human	
SRR8632525	28	3601	Escherichia coli	Contextual	Canine	Context	2018
SB2710441566	29	297	Escherichia coli	SB27	Beef	Animal	2018
SB279408264	29	1727	Escherichia coli	SB27	Beef	Animal	2019
SRR10546708	29	2607	Escherichia coli	Contextual	Water/River	Context	2018
SRR11473283	28	919	Escherichia coli	Contextual	Poultry	Context	2017
SB279406855	19	69	Escherichia coli	SB27	Human	Human	2019
SRR14138326	29	1737	Escherichia coli	Contextual	Human	Context	2017
SB279406879	10	1193	Escherichia coli	SB27	Human	Human	2019
SB279408394	20	616	Escherichia coli	SB27	Turkey	Animal	2019
SB2710442649	27	-	Escherichia coli	SB27	Beef	Animal	2019
SRR9924630	13	38	Escherichia coli	Contextual	Human	Context	2017
SB278344538	16	104	Escherichia coli	SB27	Human	Human	
SB278791631	21	131	Escherichia coli	SB27	Human	Human	2017
SB278344998	3	2604	Escherichia coli	SB27	Human	Human	
SB2710442654	29	1086	Escherichia coli	SB27	Beef	Animal	2019
SB2710441952	27	3698	Escherichia coli	SB27	Beef	Animal	2018
SB278344785	19	69	Escherichia coli	SB27	Human	Human	
SB279407945	21	131	Escherichia coli	SB27	Turkey	Animal	2019
SB279406433	29	442	Escherichia coli	SB27	Chicken	Animal	2018
SB278791722	28	2015	Escherichia coli	SB27	Human	Human	2017
SB279408708	29	1844	Escherichia coli	SB27	Chicken	Animal	2020
SRR7367469	8	11	Escherichia coli	Contextual	Human	Context	2017
SB279407129	25	5979	Escherichia coli	SB27	Human	Human	2019
SB279408584	24	8583	Escherichia coli	SB27	Pork	Animal	2019
SB278791114	9	88	Escherichia coli	SB27	Human	Human	2018
SB2710441504	29	8588	Escherichia coli	SB27	Pork	Animal	2021
SB279408559	24	10	Escherichia coli	SB27	Pork	Animal	2019
SRR10958921	29	8935	Escherichia coli	Contextual	Bovine	Context	2017
SB278790223	20	58	Escherichia coli	SB27	Human	Human	2018
SB279406432	18	117	Escherichia coli	SB27	Chicken	Animal	2018
SB279408078	17	428	Escherichia coli	SB27	Turkey	Animal	2019
SB2710442157	27	1434	Escherichia coli	SB27	Beef	Animal	2019
SB279408918	21	131	Escherichia coli	SB27	Human	Human	2020
SB278790479	16	73	Escherichia coli	SB27	Human	Human	2018
SB2710442585	29	164	Escherichia coli	SB27	Beef	Animal	2019
SB279407189	23	10	Escherichia coli	SB27	Human	Human	2019
SB278790378	29	4173	Escherichia coli	SB27	Human	Human	2018
SRR8359548	23	10	Escherichia coli	Contextual	Human	Context	2017
SB279407138	20	58	Escherichia coli	SB27	Human	Human	2019
SB278790473	14	95	Escherichia coli	SB27	Human	Human	2018
SB279406909	10	1193	Escherichia coli	SB27	Human	Human	2019
SB278790427	3	12	Escherichia coli	SB27	Human	Human	2018
SB278790535	10	1193	Escherichia coli	SB27	Human	Human	2018
SB2710442386	24	10	Escherichia coli	SB27	Pork	Animal	2019
SRR12206239	24	-	Escherichia coli	Contextual	Human	Context	2018
SB278344981	3	12	Escherichia coli	SB27	Human	Human	
SB2710442034	27	541	Escherichia coli	SB27	Beef	Animal	2018
SB278790892	16	73	Escherichia coli	SB27	Human	Human	2018
SB2710442239	12	162	Escherichia coli	SB27	Beef	Animal	2019
SB278790503	26	1061	Escherichia coli	SB27	Human	Human	2018
SB279408165	29	5296	Escherichia coli	SB27	Beef	Animal	2019
SRR6208704	23	43	Escherichia coli	Contextual	Plant	Context	2017
SB279407439	16	73	Escherichia coli	SB27	Human	Human	2019
SB279408583	25	799	Escherichia coli	SB27	Pork	Animal	2019
SRR9029853	29	196	Escherichia coli	Contextual	Canine	Context	2018
SB279407400	10	14	Escherichia coli	SB27	Human	Human	2019
SRR7724598	9	90	Escherichia coli	Contextual	Avian	Context	2017
SRR7367409	29	675	Escherichia coli	Contextual	Human	Context	2017
SB279407988	29	1611	Escherichia coli	SB27	Turkey	Animal	2019
SB278791587	28	355	Escherichia coli	SB27	Turkey	Animal	2018
SB279406418	14	95	Escherichia coli	SB27	Chicken	Animal	2018
SB279407925	29	2165	Escherichia coli	SB27	Beef	Animal	2019
SB279406891	14	95	Escherichia coli	SB27	Human	Human	2019
SB279406543	29	392	Escherichia coli	SB27	Beef	Animal	2018
SB279408832	22	2171	Escherichia coli	SB27	Chicken	Animal	2019
SB278791289	20	58	Escherichia coli	SB27	Turkey	Animal	2018
SB278345024	23	10	Escherichia coli	SB27	Human	Human	
SB278790795	21	131	Escherichia coli	SB27	Human	Human	2018
SB278791787	7	101	Escherichia coli	SB27	Chicken	Animal	2018
SRR10310374	29	10328	Escherichia coli	Contextual	Human	Context	2016
SRR11068088	29	2144	Escherichia coli	Contextual	Water/River	Context	2018
SRR8815931	28	583	Escherichia coli	Contextual	Canine	Context	2018
SB278790849	19	69	Escherichia coli	SB27	Human	Human	2018
SB279408318	13	38	Escherichia coli	SB27	Turkey	Animal	2019
SRR8104466	29	765	Escherichia coli	Contextual	ND/Other	Context	2018
SB2710442111	15	1494	Escherichia coli	SB27	Beef	Animal	2018
SRR11550956	23	43	Escherichia coli	Contextual	Ovine/Goat	Context	2017
SB279407014	16	73	Escherichia coli	SB27	Human	Human	2019
SB279408567	21	131	Escherichia coli	SB27	Chicken	Animal	2019
SB278344652	3	12	Escherichia coli	SB27	Human	Human	
SRR12206255	27	-	Escherichia coli	Contextual	Human	Context	2018
SB278790391	16	1262	Escherichia coli	SB27	Human	Human	2018
SB279407204	10	1193	Escherichia coli	SB27	Human	Human	2019
SRR7724578	26	720	Escherichia coli	Contextual	Avian	Context	2017
SB279408088	29	345	Escherichia coli	SB27	Turkey	Animal	2019
SB278791654	16	73	Escherichia coli	SB27	Human	Human	2017
SB279407320	19	69	Escherichia coli	SB27	Human	Human	2019
SB2710441592	29	-	Escherichia coli	SB27	Beef	Animal	2018
SB2710441917	29	847	Escherichia coli	SB27	Pork	Animal	2018
SRR13209807	29	33	Escherichia coli	Contextual	Human	Context	2018
SB279408693	21	131	Escherichia coli	SB27	Chicken	Animal	2020
SB279407430	22	-	Escherichia coli	SB27	Human	Human	2019
SRR14138303	21	131	Escherichia coli	Contextual	Human	Context	2017
SB279407135	9	88	Escherichia coli	SB27	Human	Human	2019
SB278790607	19	69	Escherichia coli	SB27	Human	Human	2018
SB278344537	16	73	Escherichia coli	SB27	Human	Human	
SB278790921	10	537	Escherichia coli	SB27	Human	Human	2018
SB278791091	21	4713	Escherichia coli	SB27	Human	Human	2018
SB279407001	2	127	Escherichia coli	SB27	Human	Human	2019
SB278344489	2	127	Escherichia coli	SB27	Human	Human	
SB279407201	19	69	Escherichia coli	SB27	Human	Human	2019
SB279406664	20	56	Escherichia coli	SB27	Turkey	Animal	2018
SB2710442011	29	906	Escherichia coli	SB27	Beef	Animal	2018
SRR9924636	13	38	Escherichia coli	Contextual	Human	Context	2017
SB278791237	18	117	Escherichia coli	SB27	Turkey	Animal	2018
SB279408067	29	1844	Escherichia coli	SB27	Turkey	Animal	2019
SB2710441438	19	69	Escherichia coli	SB27	Turkey	Animal	2021
SB279407873	20	58	Escherichia coli	SB27	Turkey	Animal	2019
SB279406695	29	942	Escherichia coli	SB27	Human	Human	2019
SRR14138361	29	196	Escherichia coli	Contextual	Human	Context	2017
SB279407426	14	95	Escherichia coli	SB27	Human	Human	2019
SB279406774	22	648	Escherichia coli	SB27	Human	Human	2019
SB2710442590	29	278	Escherichia coli	SB27	Pork	Animal	2019
SRR9924627	13	38	Escherichia coli	Contextual	Human	Context	2017
SB279407208	14	95	Escherichia coli	SB27	Human	Human	2019
SB278344952	16	73	Escherichia coli	SB27	Human	Human	
SB279407431	28	2227	Escherichia coli	SB27	Human	Human	2019
SRR7416060	29	33	Escherichia coli	Contextual	Human	Context	2018
SB2710442163	24	8583	Escherichia coli	SB27	Beef	Animal	2019
SB2710442986	27	5784	Escherichia coli	SB27	Pork	Animal	2020
SRR7407920	29	17	Escherichia coli	Contextual	Human	Context	2017
SRR8397600	8	11	Escherichia coli	Contextual	Bovine	Context	2018
SB279407786	2	127	Escherichia coli	SB27	Human	Human	2020
SB2710441929	20	683	Escherichia coli	SB27	Beef	Animal	2018
SB278790826	14	95	Escherichia coli	SB27	Human	Human	2018
SB278791825	7	101	Escherichia coli	SB27	Chicken	Animal	2018
SB278790917	1	349	Escherichia coli	SB27	Human	Human	2018
SB2710441587	12	2852	Escherichia coli	SB27	Beef	Animal	2018
SRR9924634	13	38	Escherichia coli	Contextual	Human	Context	2017
SB2710442597	29	5973	Escherichia coli	SB27	Beef	Animal	2019
SB278344743	3	12	Escherichia coli	SB27	Human	Human	
SB2710442962	29	1727	Escherichia coli	SB27	Beef	Animal	2020
SB2710442060	20	58	Escherichia coli	SB27	Pork	Animal	2018
SB278791255	23	6658	Escherichia coli	SB27	Chicken	Animal	2018
SB279407754	9	88	Escherichia coli	SB27	Human	Human	2019
SB2710442400	29	-	Escherichia coli	SB27	Beef	Animal	2019
SB279407844	12	3580	Escherichia coli	SB27	Turkey	Animal	2019
SB278790413	28	372	Escherichia coli	SB27	Human	Human	2018
SB278791533	29	1844	Escherichia coli	SB27	Turkey	Animal	2018
SB278344853	21	131	Escherichia coli	SB27	Human	Human	
SRR8359545	23	10	Escherichia coli	Contextual	Human	Context	2017
SB279408518	15	401	Escherichia coli	SB27	Beef	Animal	2019
SB279407285	23	10	Escherichia coli	SB27	Human	Human	2019
SB278790574	21	131	Escherichia coli	SB27	Human	Human	2018
SB278790761	16	73	Escherichia coli	SB27	Human	Human	2018
SB279406482	12	162	Escherichia coli	SB27	Chicken	Animal	2018
SB278791353	29	109	Escherichia coli	SB27	Pork	Animal	2018
SB278344763	10	404	Escherichia coli	SB27	Human	Human	
SRR7524654	23	10	Escherichia coli	Contextual	Human	Context	2016
SB279406951	21	8671	Escherichia coli	SB27	Human	Human	2019
SB279407323	14	2619	Escherichia coli	SB27	Human	Human	2019
SB279408483	29	109	Escherichia coli	SB27	Beef	Animal	2019
SB2710442210	24	48	Escherichia coli	SB27	Pork	Animal	2019
SB279407330	4	998	Escherichia coli	SB27	Human	Human	2019
SRR9924623	13	38	Escherichia coli	Contextual	Human	Context	2017
SB279408008	29	2602	Escherichia coli	SB27	Turkey	Animal	2019
SB278790694	21	131	Escherichia coli	SB27	Human	Human	2018
SB279406717	2	127	Escherichia coli	SB27	Human	Human	2019
SB279407975	12	3580	Escherichia coli	SB27	Turkey	Animal	2019
SB278790746	14	95	Escherichia coli	SB27	Human	Human	2017
SB2710442595	27	1434	Escherichia coli	SB27	Beef	Animal	2019
SB279407088	3	12	Escherichia coli	SB27	Human	Human	2019
SRR12206287	27	540	Escherichia coli	Contextual	Human	Context	2018
SB278790703	21	131	Escherichia coli	SB27	Human	Human	2018
SRR7724618	21	131	Escherichia coli	Contextual	Avian	Context	2017
SB278791609	2	127	Escherichia coli	SB27	Human	Human	2017
SB2710442382	29	5296	Escherichia coli	SB27	Beef	Animal	2019
SB2710443050	27	1421	Escherichia coli	SB27	Turkey	Animal	2020
SB278790331	17	676	Escherichia coli	SB27	Human	Human	2018
SB278790801	2	127	Escherichia coli	SB27	Human	Human	2018
SB278790781	19	69	Escherichia coli	SB27	Human	Human	2018
SRR14138341	27	2325	Escherichia coli	Contextual	Canine	Context	2017
SB2710441964	29	5378	Escherichia coli	SB27	Pork	Animal	2018
SB279407112	6	3057	Escherichia coli	SB27	Human	Human	2019
SRR6651831	8	11	Escherichia coli	Contextual	ND/Other	Context	2017
SRR11073120	27	6	Escherichia coli	Contextual	Human	Context	2017
SB279407774	16	73	Escherichia coli	SB27	Human	Human	2020
SB279407973	29	602	Escherichia coli	SB27	Chicken	Animal	2019
SB279407195	16	73	Escherichia coli	SB27	Human	Human	2019
SB278791247	29	3998	Escherichia coli	SB27	Turkey	Animal	2018
SB2710442290	29	5378	Escherichia coli	SB27	Pork	Animal	2019
SRR9924621	13	38	Escherichia coli	Contextual	Human	Context	2017
SRR10426952	23	10	Escherichia coli	Contextual	Rodent	Context	2018
SRR7426120	8	8345	Escherichia coli	Contextual	Human	Context	2018
SB279408555	25	57	Escherichia coli	SB27	Chicken	Animal	2019
SRR7274852	8	8295	Escherichia coli	Contextual	Human	Context	2017
SB2710442352	29	1592	Escherichia coli	SB27	Beef	Animal	2019
SB278344941	26	-	Escherichia coli	SB27	Human	Human	
SB2710441837	27	1115	Escherichia coli	SB27	Pork	Animal	2021
SB279406536	23	227	Escherichia coli	SB27	Turkey	Animal	2018
SB279406871	16	73	Escherichia coli	SB27	Human	Human	2019
SB278791487	18	117	Escherichia coli	SB27	Chicken	Animal	2018
SB279408737	29	1125	Escherichia coli	SB27	Chicken	Animal	2020
SRR6942790	23	167	Escherichia coli	Contextual	Human	Context	2017
SB279407091	2	127	Escherichia coli	SB27	Human	Human	2019
SB278344784	16	73	Escherichia coli	SB27	Human	Human	
SRR8359549	23	-	Escherichia coli	Contextual	Human	Context	2017
SB278791675	4	998	Escherichia coli	SB27	Human	Human	2017
SB279407216	1	349	Escherichia coli	SB27	Human	Human	2019
SB2710442880	29	8924	Escherichia coli	SB27	Beef	Animal	2020
SB278790915	10	1193	Escherichia coli	SB27	Human	Human	2018
SB279408448	29	602	Escherichia coli	SB27	Chicken	Animal	2019
SB279406541	7	-	Escherichia coli	SB27	Pork	Animal	2018
SB279406861	23	10	Escherichia coli	SB27	Human	Human	2019
SRR7456547	8	11	Escherichia coli	Contextual	Human	Context	2018
SB2710442199	27	607	Escherichia coli	SB27	Beef	Animal	2019
SRR14138327	18	117	Escherichia coli	Contextual	Human	Context	2017
SB279408157	12	3580	Escherichia coli	SB27	Turkey	Animal	2019
SRR6760761	8	11	Escherichia coli	Contextual	Bovine	Context	2018
SRR7191681	12	517	Escherichia coli	Contextual	Human	Context	2017
SB278790517	14	1231	Escherichia coli	SB27	Human	Human	2018
SB2710441485	9	23	Escherichia coli	SB27	Turkey	Animal	2021
SB2710441605	27	409	Escherichia coli	SB27	Beef	Animal	2018
SB2710442192	20	58	Escherichia coli	SB27	Beef	Animal	2019
SRR7543308	20	58	Escherichia coli	Contextual	Swine	Context	2018
SB279408104	20	223	Escherichia coli	SB27	Beef	Animal	2019
SB279408728	28	681	Escherichia coli	SB27	Turkey	Animal	2020
SB2710442148	27	1434	Escherichia coli	SB27	Pork	Animal	2018
SRR6314835	29	937	Escherichia coli	Contextual	Bovine	Context	2017
SB279407932	29	7616	Escherichia coli	SB27	Turkey	Animal	2019
SB278791797	25	57	Escherichia coli	SB27	Chicken	Animal	2018
SRR7031290	23	10	Escherichia coli	Contextual	Laboratory	Context	2017
SB278344994	10	404	Escherichia coli	SB27	Human	Human	
SB279406952	23	10	Escherichia coli	SB27	Human	Human	2019
SB278791113	16	1262	Escherichia coli	SB27	Human	Human	2018
SB279406770	14	95	Escherichia coli	SB27	Human	Human	2019
SRR7031297	23	10	Escherichia coli	Contextual	Laboratory	Context	2017
SB279406674	2	127	Escherichia coli	SB27	Human	Human	2019
SB279408557	29	906	Escherichia coli	SB27	Turkey	Animal	2019
SRR11473205	18	117	Escherichia coli	Contextual	Poultry	Context	2016
SB279407074	24	189	Escherichia coli	SB27	Human	Human	2019
SB2710442898	25	9853	Escherichia coli	SB27	Turkey	Animal	2020
SB278790407	21	131	Escherichia coli	SB27	Human	Human	2018
SB279408292	23	10	Escherichia coli	SB27	Turkey	Animal	2019
SB2710441516	27	2929	Escherichia coli	SB27	Turkey	Animal	2021
SRR7186105	25	32	Escherichia coli	Contextual	Bovine	Context	2017
SB278344511	10	1193	Escherichia coli	SB27	Human	Human	
SRR11473202	14	95	Escherichia coli	Contextual	Poultry	Context	2016
SRR7367423	8	11	Escherichia coli	Contextual	Human	Context	2016
SB2710442169	20	155	Escherichia coli	SB27	Beef	Animal	2019
SB278791839	15	6069	Escherichia coli	SB27	Chicken	Animal	2018
SB2710441989	11	399	Escherichia coli	SB27	Beef	Animal	2018
SB279407387	14	95	Escherichia coli	SB27	Human	Human	2019
SB2710443034	29	1582	Escherichia coli	SB27	Turkey	Animal	2020
SB2710442084	24	6071	Escherichia coli	SB27	Beef	Animal	2018
SB278791258	18	117	Escherichia coli	SB27	Chicken	Animal	2018
SB279408739	17	1385	Escherichia coli	SB27	Turkey	Animal	2020
SB279408084	29	109	Escherichia coli	SB27	Beef	Animal	2019
SB279408105	29	446	Escherichia coli	SB27	Beef	Animal	2019
SB279406746	4	141	Escherichia coli	SB27	Human	Human	2019
SB2710442214	11	399	Escherichia coli	SB27	Pork	Animal	2019
SRR8162698	23	10	Escherichia coli	Contextual	ND/Other	Context	2017
SB279406525	18	117	Escherichia coli	SB27	Chicken	Animal	2018
SB2710442891	28	355	Escherichia coli	SB27	Turkey	Animal	2020
SRR8359525	23	10	Escherichia coli	Contextual	Human	Context	2017
SB278790907	10	1193	Escherichia coli	SB27	Human	Human	2018
SB279407130	16	1278	Escherichia coli	SB27	Human	Human	2019
SRR9924619	13	38	Escherichia coli	Contextual	Human	Context	2017
SB2710196270	24	542	Escherichia coli	SB27	Chicken	Animal	2021
SRR7401718	20	223	Escherichia coli	Contextual	Avian	Context	2018
SB2710441966	29	602	Escherichia coli	SB27	Beef	Animal	2018
